SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM,region_cat,region_subcat
101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,51895.5631,Regional,Reg - ACT
102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,1681.0724,Metro,Syd North
103,Central West,1RNSW,Rest of NSW,1,New South Wales,70297.0604,Regional,Rural
104,Coffs Harbour - Grafton,1RNSW,Rest of NSW,1,New South Wales,13229.7578,Regional,Reg North
105,Far West and Orana,1RNSW,Rest of NSW,1,New South Wales,339363.6925,Regional,Rural
106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,21491.2915,Regional,Reg North
107,Illawarra,1RNSW,Rest of NSW,1,New South Wales,1538.919,Regional,Reg South
108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales,18851.4995,Regional,Reg North
109,Murray,1RNSW,Rest of NSW,1,New South Wales,97797.6754,Regional,Reg South
110,New England and North West,1RNSW,Rest of NSW,1,New South Wales,99145.9163,Regional,Reg North
111,Newcastle and Lake Macquarie,1RNSW,Rest of NSW,1,New South Wales,870.612,Regional,Reg Newcastle
112,Richmond - Tweed,1RNSW,Rest of NSW,1,New South Wales,10271.1425,Regional,Reg North
113,Riverina,1RNSW,Rest of NSW,1,New South Wales,56985.0189,Regional,Reg South
114,Southern Highlands and Shoalhaven,1RNSW,Rest of NSW,1,New South Wales,6704.4401,Regional,Reg South
115,Sydney - Baulkham Hills and Hawkesbury,1GSYD,Greater Sydney,1,New South Wales,3251.4985,Metro,Syd North
116,Sydney - Blacktown,1GSYD,Greater Sydney,1,New South Wales,242.0851,Metro,Syd North
117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,65.5318,Metro,Syd North
118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales,57.733,Metro,Syd Inner
119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales,163.9352,Metro,Syd South
120,Sydney - Inner West,1GSYD,Greater Sydney,1,New South Wales,64.5481,Metro,Syd Inner
121,Sydney - North Sydney and Hornsby,1GSYD,Greater Sydney,1,New South Wales,275.095,Metro,Syd North
122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,254.2074,Metro,Syd North
123,Sydney - Outer South West,1GSYD,Greater Sydney,1,New South Wales,1278.4513,Metro,Syd South
124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,3968.129,Metro,Syd West
125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,161.6358,Metro,Syd West
126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,69.3369,Metro,Syd Inner
127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,539.0686,Metro,Syd West
128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,295.8652,Metro,Syd South
197,Migratory - Offshore - Shipping (NSW),19799,Migratory - Offshore - Shipping (NSW),1,New South Wales,0,Regional,Rural
199,No usual address (NSW),19499,No usual address (NSW),1,New South Wales,0,Regional,Rural
201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,10287.4759,Regional,Rural
202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,11841.9062,Regional,Rural
203,Geelong,2RVIC,Rest of Vic.,2,Victoria,4428.6993,Regional,Rural
204,Hume,2RVIC,Rest of Vic.,2,Victoria,34005.5354,Regional,Rural
205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,41553.7517,Regional,Rural
206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,142.3595,Regional,Rural
207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,146.7432,Regional,Rural
208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,161.4966,Regional,Rural
209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,1851.2645,Regional,Rural
210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,1619.69,Regional,Rural
211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,1878.5576,Regional,Rural
212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,1922.2805,Regional,Rural
213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,1416.354,Regional,Rural
214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,853.7659,Regional,Rural
215,North West,2RVIC,Rest of Vic.,2,Victoria,78072.7365,Regional,Rural
216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,10934.1051,Regional,Rural
217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,26378.9085,Regional,Rural
297,Migratory - Offshore - Shipping (Vic.),29799,Migratory - Offshore - Shipping (Vic.),2,Victoria,0,Regional,Rural
299,No usual address (Vic.),29499,No usual address (Vic.),2,Victoria,0,Regional,Rural
301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,653.1326,Regional,Rural
302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,186.949,Regional,Rural
303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,265.3446,Regional,Rural
304,Brisbane - West,3GBRI,Greater Brisbane,3,Queensland,269.6511,Regional,Rural
305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,81.7394,Regional,Rural
306,Cairns,3RQLD,Rest of Qld,3,Queensland,21337.9683,Regional,Rural
307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,166340.0568,Regional,Rural
308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,117588.0014,Regional,Rural
309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,1857.8854,Regional,Rural
310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,6681.1469,Regional,Rural
311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,2586.1453,Regional,Rural
312,Mackay - Isaac - Whitsunday,3RQLD,Rest of Qld,3,Queensland,90140.106,Regional,Rural
313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,4344.4565,Regional,Rural
314,Moreton Bay - South,3GBRI,Greater Brisbane,3,Queensland,773.3949,Regional,Rural
315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,1183182.72,Regional,Rural
316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,3085.9114,Regional,Rural
317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,2258.7955,Regional,Rural
318,Townsville,3RQLD,Rest of Qld,3,Queensland,80036.0977,Regional,Rural
319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,48502.5801,Regional,Rural
397,Migratory - Offshore - Shipping (Qld),39799,Migratory - Offshore - Shipping (Qld),3,Queensland,0,Regional,Rural
399,No usual address (Qld),39499,No usual address (Qld),3,Queensland,0,Regional,Rural
401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,1497.2718,Regional,Rural
402,Adelaide - North,4GADE,Greater Adelaide,4,South Australia,939.9927,Regional,Rural
403,Adelaide - South,4GADE,Greater Adelaide,4,South Australia,663.0814,Regional,Rural
404,Adelaide - West,4GADE,Greater Adelaide,4,South Australia,159.49,Regional,Rural
405,Barossa - Yorke - Mid North,4RSAU,Rest of SA,4,South Australia,37716.3532,Regional,Rural
406,South Australia - Outback,4RSAU,Rest of SA,4,South Australia,877815.9801,Regional,Rural
407,South Australia - South East,4RSAU,Rest of SA,4,South Australia,65482.7388,Regional,Rural
497,Migratory - Offshore - Shipping (SA),49799,Migratory - Offshore - Shipping (SA),4,South Australia,0,Regional,Rural
499,No usual address (SA),49499,No usual address (SA),4,South Australia,0,Regional,Rural
501,Bunbury,5RWAU,Rest of WA,5,Western Australia,24802.4115,Regional,Rural
502,Mandurah,5GPER,Greater Perth,5,Western Australia,1032.8628,Regional,Rural
503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,92.2398,Regional,Rural
504,Perth - North East,5GPER,Greater Perth,5,Western Australia,1762.4316,Regional,Rural
505,Perth - North West,5GPER,Greater Perth,5,Western Australia,883.9992,Regional,Rural
506,Perth - South East,5GPER,Greater Perth,5,Western Australia,2023.9923,Regional,Rural
507,Perth - South West,5GPER,Greater Perth,5,Western Australia,620.696,Regional,Rural
509,Western Australia - Wheat Belt,5RWAU,Rest of WA,5,Western Australia,197345.3766,Regional,Rural
510,Western Australia - Outback (North),5RWAU,Rest of WA,5,Western Australia,926049.6594,Regional,Rural
511,Western Australia - Outback (South),5RWAU,Rest of WA,5,Western Australia,1372032.57,Regional,Rural
