,postcode,sqkm,year,baths,beds,parking,propertyType,volume,sales
0,2000,4.2873,2014,1.0,0.0,0.0,apartment,10.0,4755000.0
1,2000,4.2873,2014,1.0,0.0,0.0,other,1.0,305000.0
2,2000,4.2873,2014,1.0,0.0,1.0,apartment,2.0,624000.0
3,2000,4.2873,2014,1.0,1.0,0.0,apartment,78.0,44004600.0
4,2000,4.2873,2014,1.0,1.0,0.0,other,2.0,1410000.0
5,2000,4.2873,2014,1.0,1.0,1.0,apartment,66.0,58757500.0
6,2000,4.2873,2014,1.0,1.0,1.0,other,1.0,318000.0
7,2000,4.2873,2014,1.0,1.0,3.0,apartment,41.0,23491188.0
8,2000,4.2873,2014,1.0,1.0,3.0,house,1.0,330000.0
9,2000,4.2873,2014,1.0,2.0,0.0,apartment,2.0,1267500.0
10,2000,4.2873,2014,1.0,2.0,0.0,semi detached,1.0,2150000.0
11,2000,4.2873,2014,1.0,2.0,1.0,apartment,4.0,2900000.0
12,2000,4.2873,2014,1.0,2.0,3.0,semi detached,1.0,2150000.0
13,2000,4.2873,2014,1.0,3.0,0.0,house,3.0,5930000.0
14,2000,4.2873,2014,1.0,3.0,0.0,semi detached,1.0,2302000.0
15,2000,4.2873,2014,1.0,4.0,3.0,apartment,8.0,3339000.0
16,2000,4.2873,2014,2.0,1.0,1.0,apartment,5.0,4550000.0
17,2000,4.2873,2014,2.0,1.0,2.0,apartment,1.0,1090000.0
18,2000,4.2873,2014,2.0,2.0,0.0,apartment,10.0,7908800.0
19,2000,4.2873,2014,2.0,2.0,0.0,semi detached,2.0,4700000.0
20,2000,4.2873,2014,2.0,2.0,1.0,apartment,130.0,155251188.0
21,2000,4.2873,2014,2.0,2.0,1.0,house,2.0,1595000.0
22,2000,4.2873,2014,2.0,2.0,2.0,apartment,10.0,13697000.0
23,2000,4.2873,2014,2.0,3.0,0.0,apartment,3.0,5350000.0
24,2000,4.2873,2014,2.0,3.0,1.0,apartment,12.0,14278500.0
25,2000,4.2873,2014,2.0,3.0,2.0,apartment,38.0,81987000.0
26,2000,4.2873,2014,2.0,3.0,3.0,apartment,1.0,1370000.0
27,2000,4.2873,2014,2.0,4.0,0.0,house,4.0,9067000.0
28,2000,4.2873,2014,3.0,2.0,1.0,apartment,1.0,1600000.0
29,2000,4.2873,2014,3.0,2.0,2.0,apartment,4.0,6105000.0
30,2000,4.2873,2014,3.0,3.0,2.0,apartment,15.0,35057000.0
31,2000,4.2873,2014,3.0,3.0,3.0,apartment,1.0,3900000.0
32,2000,4.2873,2014,3.0,4.0,0.0,house,1.0,3950000.0
33,2000,4.2873,2014,3.0,4.0,1.0,apartment,2.0,3600000.0
34,2000,4.2873,2014,3.0,4.0,2.0,apartment,2.0,6880000.0
35,2000,4.2873,2014,4.0,3.0,2.0,apartment,2.0,5305000.0
36,2000,4.2873,2014,4.0,3.0,3.0,apartment,1.0,1500000.0
37,2000,4.2873,2014,4.0,4.0,0.0,house,1.0,2307000.0
38,2000,4.2873,2014,4.0,4.0,2.0,apartment,2.0,5748800.0
39,2000,4.2873,2014,5.0,4.0,2.0,apartment,1.0,2300000.0
40,2000,4.2873,2015,1.0,0.0,0.0,apartment,8.0,3594500.0
41,2000,4.2873,2015,1.0,0.0,1.0,apartment,4.0,2173000.0
42,2000,4.2873,2015,1.0,1.0,0.0,apartment,92.0,56863070.0
43,2000,4.2873,2015,1.0,1.0,0.0,other,1.0,315000.0
44,2000,4.2873,2015,1.0,1.0,0.0,semi detached,1.0,2400000.0
45,2000,4.2873,2015,1.0,1.0,1.0,apartment,73.0,69856500.0
46,2000,4.2873,2015,1.0,1.0,3.0,apartment,11.0,6420500.0
47,2000,4.2873,2015,1.0,2.0,0.0,apartment,5.0,4424000.0
48,2000,4.2873,2015,1.0,2.0,0.0,house,4.0,7315000.0
49,2000,4.2873,2015,1.0,2.0,0.0,semi detached,1.0,1615000.0
50,2000,4.2873,2015,1.0,2.0,1.0,apartment,18.0,14827500.0
51,2000,4.2873,2015,1.0,3.0,0.0,house,15.0,35666000.0
52,2000,4.2873,2015,1.0,3.0,0.0,semi detached,4.0,8875000.0
53,2000,4.2873,2015,1.0,4.0,0.0,house,5.0,11651000.0
54,2000,4.2873,2015,1.0,4.0,3.0,apartment,4.0,1825000.0
55,2000,4.2873,2015,2.0,1.0,1.0,apartment,10.0,11333000.0
56,2000,4.2873,2015,2.0,2.0,0.0,apartment,9.0,8317000.0
57,2000,4.2873,2015,2.0,2.0,0.0,semi detached,1.0,1810000.0
58,2000,4.2873,2015,2.0,2.0,1.0,apartment,141.0,190625948.0
59,2000,4.2873,2015,2.0,2.0,2.0,apartment,20.0,32090000.0
60,2000,4.2873,2015,2.0,3.0,0.0,apartment,1.0,1800000.0
