postcode,SA2_NAME,SA3_NAME,SA4_NAME,GCCSA_NAME,STATE_NAME
800,Darwin City,Darwin City,Darwin,Greater Darwin,Northern Territory
810,Nightcliff,Darwin Suburbs,Darwin,Greater Darwin,Northern Territory
812,Karama,Darwin Suburbs,Darwin,Greater Darwin,Northern Territory
820,Stuart Park,Darwin City,Darwin,Greater Darwin,Northern Territory
822,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
828,Berrimah,Darwin Suburbs,Darwin,Greater Darwin,Northern Territory
829,Howard Springs,Litchfield,Darwin,Greater Darwin,Northern Territory
830,Durack - Marlow Lagoon,Palmerston,Darwin,Greater Darwin,Northern Territory
832,Rosebery - Bellamack,Palmerston,Darwin,Greater Darwin,Northern Territory
835,Howard Springs,Litchfield,Darwin,Greater Darwin,Northern Territory
836,Humpty Doo,Litchfield,Darwin,Greater Darwin,Northern Territory
837,Weddell,Litchfield,Darwin,Greater Darwin,Northern Territory
838,Weddell,Litchfield,Darwin,Greater Darwin,Northern Territory
840,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
841,Weddell,Litchfield,Darwin,Greater Darwin,Northern Territory
845,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
846,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
847,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
850,Katherine,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
852,Victoria River,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
853,Katherine,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
854,Gulf,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
860,Tennant Creek,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory
862,Barkly,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory
870,East Side,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
872,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
880,Nhulunbuy,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
885,Anindilyakwa,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
886,Alligator,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
909,Brinkin - Nakara,Darwin Suburbs,Darwin,Greater Darwin,Northern Territory
2010,Surry Hills,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,New South Wales
2011,Potts Point - Woolloomooloo,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,New South Wales
2015,Erskineville - Alexandria,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,New South Wales
2019,Botany,Botany,Sydney - City and Inner South,Greater Sydney,New South Wales
2021,Paddington - Moore Park,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2022,Bondi Junction - Waverly,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2024,Bondi - Tamarama - Bronte,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2025,Woollahra,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2026,Bondi Beach - North Bondi,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2029,Rose Bay - Vaucluse - Watsons Bay,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
2030,Rose Bay - Vaucluse - Watsons Bay,Eastern Suburbs - North,Sydney - Eastern Suburbs,Greater Sydney,New South Wales
